UNIQUEID,REGION,STATE,PERCENTILE,TOP5PCT,HHNUMBR,AGES5TO18,pctPopulation,LIVINGQRTS,TENURETYPE,PROPERTYVALUE,LOWERRENT,HOUSINGPROJECT,FOODSTAMPS,ENGERGYASST,pctFRval,pctSEval,pctWSval,pctOIval,pctANNval,pctCSPval,pctDISval,pctDIVval,pctSDTval,pctEDval,pctFINval,pctINTval,pctPAWval,pctPENval,pctRNTval,pctSSIval,pctSSval,pctSURval,pctUCval,pctVETval,pctWCval,pctTotal ,pctPopPercent,HTOTVAL
30740475061079205111,2,46,9,2,2,0,0.001098298,1,1,500000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,50000
48607140127040806111,2,46,13,2,3,0,0.001647446,1,1,30000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,75687
40504031709762705111,2,46,7,2,2,0,0.001098298,1,1,50000,No Rental Assistance,Not a Public Housing Project,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,40000
40436041206864305012,2,46,20,1,2,0,0.0011,1,1,90000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0.07,0,0,0.52,0,0,0,0,0,0,1,0.5,287550
59146400274095706011,2,46,17,2,6,4,0.003294893,1,1,175000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.96,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,1,0.17,136734
45692740159040706011,2,46,17,2,7,4,0.003844042,1,1,300000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,132882
64108085796100405111,2,46,3,2,1,0,0.000549149,1,1,20000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,0,0.95,0,0,0,0,1,1,14535
45660180179040805111,2,46,15,2,4,2,0.002196595,1,1,90000,No Rental Assistance,Not a Public Housing Project,0,0,0.48,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,104003
07009646840185105111,2,46,13,2,2,0,0.001098298,1,1,45000,No Rental Assistance,Not a Public Housing Project,0,0,0.37,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.5,80001
18978406004651005111,2,46,9,2,2,0,0.001098298,6,1,90000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,46000
67376000082110404011,2,46,19,2,4,2,0.002196595,1,1,250000,No Rental Assistance,Not a Public Housing Project,0,0,0.84,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.99,0.25,222235
71196100994072806011,2,46,8,2,3,1,0.001647446,1,1,48000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,1,0.33,44000
11129406009778906011,2,46,18,2,4,2,0.002196595,1,1,175000,No Rental Assistance,Not a Public Housing Project,0,0,0.57,0,0.13,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0.25,167401
02901697940817106011,2,46,15,2,3,0,0.001647446,1,1,500000,No Rental Assistance,Not a Public Housing Project,0,0,0.53,0,0.42,0,0,0,0,0,0,0,0,0.03,0,0,0.02,0,0,0,0,0,0,1,0.33,94400
03404652740437105011,2,46,4,2,3,0,0.001647446,1,0,0,No Rental Assistance,Public Housing Project ,2400,550,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,19200
04061015345348306111,2,46,7,2,5,1,0.002745744,1,0,0,No Rental Assistance,Public Housing Project ,0,600,0,0,0.96,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,1,0.2,36700
36454415010830306111,2,46,1,2,1,0,0.000549149,1,0,0,No Rental Assistance,Public Housing Project ,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,1,6587
04061048783584805011,2,46,18,2,2,0,0.001098298,1,1,100000,No Rental Assistance,Not a Public Housing Project,0,0,0.94,0,0,0,0,0,0,0,0.01,0,0,0.05,0,0,0,0,0,0,0,0,0,1,0.5,168500
74156300474023405011,2,46,4,2,4,0,0.002196595,1,0,0,No Rental Assistance,Public Housing Project ,1800,1000,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,1,0.25,20434
44161400203035505011,2,31,6,2,1,0,0.000452899,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34150
84121700943037706011,2,31,5,2,1,0,0.000452899,1,1,150000,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.24,0,0.12,0,0,0,0,0,0,0.01,0,0,0.12,0,0.51,0,0,0,0,1,1,24890
05204163030544105011,2,31,10,2,2,0,0.000905797,1,0,0,No Rental Assistance,Not a Public Housing Project,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.24,0,0,0,0,1.01,0.51,53512
